League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,PTS,TOV,PF,PTS_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,TOV_per_min,3P_pct,FT_pct,FG_pct
NBA,2016 - 2017,Playoffs,LeBron James,CLE,18,744.2,217,384,44,107,113,162,19,145,164,141,35,23,591,72,43,0.7941413598495027,0.22037086804622413,0.18946519752754634,0.04703036818059661,0.030905670518677774,0.09674818597151302,0.411214953271028,0.6975308641975309,0.5651041666666666
NBA,2016 - 2017,Playoffs,Stephen Curry,GSW,17,600.8,151,312,72,172,103,114,23,84,107,114,34,4,477,58,37,0.7939414114513982,0.17809587217043943,0.18974700399467379,0.05659121171770973,0.006657789613848203,0.09653794940079895,0.4186046511627907,0.9035087719298246,0.483974358974359
NBA,2016 - 2017,Playoffs,Kyrie Irving,CLE,18,653.3,173,370,44,118,76,84,13,38,51,95,23,8,466,48,38,0.7133016990662789,0.07806520740854125,0.14541558242767488,0.03520587785091076,0.01224552273075157,0.07347313638450942,0.3728813559322034,0.9047619047619048,0.46756756756756757
NBA,2016 - 2017,Playoffs,Kevin Durant,GSW,15,533.1,149,268,38,86,92,103,16,103,119,64,12,20,428,38,39,0.8028512474207465,0.22322265991371223,0.12005252297880323,0.022509848058525603,0.03751641343087601,0.07128118551866441,0.4418604651162791,0.8932038834951457,0.5559701492537313
NBA,2016 - 2017,Playoffs,John Wall,WAS,13,506.5,127,281,21,61,78,93,7,41,48,134,21,15,353,55,26,0.6969397828232972,0.0947680157946693,0.26456071076011844,0.04146100691016782,0.029615004935834157,0.10858835143139191,0.3442622950819672,0.8387096774193549,0.45195729537366547
NBA,2016 - 2017,Playoffs,Isaiah Thomas,BOS,15,520.7,111,261,36,108,91,111,5,42,47,100,13,2,349,50,35,0.6702515844056077,0.090263107355483,0.19204916458613402,0.024966391396197423,0.003840983291722681,0.09602458229306701,0.3333333333333333,0.8198198198198198,0.42528735632183906
NBA,2016 - 2017,Playoffs,Kawhi Leonard,SAS,12,429.1,106,202,25,55,95,102,19,74,93,55,20,6,332,26,21,0.7737124213470054,0.2167326963411792,0.1281752505243533,0.04660918200885574,0.013982754602656723,0.060591936611512465,0.45454545454545453,0.9313725490196079,0.5247524752475248
NBA,2016 - 2017,Playoffs,Bradley Beal,WAS,13,505.4,122,259,29,101,50,61,15,29,44,35,21,8,323,27,38,0.6390977443609023,0.08705975464978236,0.06925207756232687,0.04155124653739612,0.015829046299960427,0.053423031262366444,0.2871287128712871,0.819672131147541,0.47104247104247104
NBA,2016 - 2017,Playoffs,James Harden,HOU,11,406.7,90,218,32,115,101,115,7,53,60,93,21,5,313,59,43,0.7696090484386526,0.1475288910745021,0.22866978116547826,0.05163511187607573,0.012294074256208508,0.1450700762232604,0.2782608695652174,0.8782608695652174,0.41284403669724773
NBA,2016 - 2017,Playoffs,Kevin Love,CLE,18,577.6,95,218,50,111,63,75,36,155,191,30,21,16,303,31,46,0.524584487534626,0.3306786703601108,0.05193905817174515,0.036357340720221606,0.027700831024930747,0.053670360110803325,0.45045045045045046,0.84,0.43577981651376146
